rowid,kepid,kepoi_name,filename
3492,6020753,K00657.01,lightcurve_0_KIC6020753.csv
4279,9100953,K04500.01,lightcurve_1000_KIC9100953.csv
1129,7901948,K01511.01,lightcurve_1001_KIC7901948.csv
2666,9020114,K03088.01,lightcurve_1002_KIC9020114.csv
3237,6501635,K00560.01,lightcurve_1003_KIC6501635.csv
3084,3239945,K00490.01,lightcurve_1004_KIC3239945.csv
3614,7509886,K00678.01,lightcurve_1005_KIC7509886.csv
1105,6786348,K01749.01,lightcurve_1009_KIC6786348.csv
6059,12405333,K03009.01,lightcurve_1010_KIC12405333.csv
3098,6462863,K00094.01,lightcurve_1012_KIC6462863.csv
3350,8022244,K00519.01,lightcurve_1013_KIC8022244.csv
3755,7100673,K04032.01,lightcurve_1014_KIC7100673.csv
2705,11618601,K03022.01,lightcurve_1015_KIC11618601.csv
1330,7955580,K01711.01,lightcurve_1016_KIC7955580.csv
1434,5856571,K01839.01,lightcurve_1018_KIC5856571.csv
2032,5175024,K02563.01,lightcurve_1019_KIC5175024.csv
1675,6383785,K00239.02,lightcurve_1020_KIC6383785.csv
2307,11337566,K02632.01,lightcurve_1021_KIC11337566.csv
4024,7103919,K04310.01,lightcurve_1022_KIC7103919.csv
1948,9336200,K02242.01,lightcurve_1023_KIC9336200.csv
2624,6964929,K02756.01,lightcurve_1025_KIC6964929.csv
1078,5561278,K01621.01,lightcurve_1026_KIC5561278.csv
2090,6767840,K02506.01,lightcurve_1027_KIC6767840.csv
2155,8212002,K02593.01,lightcurve_1028_KIC8212002.csv
3407,8361905,K00689.01,lightcurve_102_KIC8361905.csv
4365,9009036,K04585.01,lightcurve_1031_KIC9009036.csv
1492,9573685,K02057.01,lightcurve_1034_KIC9573685.csv
1019,9836959,K01715.01,lightcurve_1035_KIC9836959.csv
2293,8753896,K02473.01,lightcurve_1036_KIC8753896.csv
1978,10158729,K02097.01,lightcurve_1037_KIC10158729.csv
1456,3338885,K01845.01,lightcurve_1039_KIC3338885.csv
2715,7603200,K00314.01,lightcurve_103_KIC7603200.csv
1973,5534941,K02332.01,lightcurve_1041_KIC5534941.csv
1473,2307415,K02053.01,lightcurve_1042_KIC2307415.csv
1897,9472000,K02082.01,lightcurve_1044_KIC9472000.csv
1385,7948784,K01968.01,lightcurve_1045_KIC7948784.csv
1793,11670125,K02355.01,lightcurve_1046_KIC11670125.csv
1893,9473078,K02079.01,lightcurve_1047_KIC9473078.csv
893,8628758,K01279.01,lightcurve_1048_KIC8628758.csv
1236,5301750,K01589.01,lightcurve_1049_KIC5301750.csv
1496,9662811,K01854.01,lightcurve_104_KIC9662811.csv
1906,4473226,K02229.01,lightcurve_1050_KIC4473226.csv
1764,11401767,K02195.01,lightcurve_1052_KIC11401767.csv
2730,11508644,K03101.01,lightcurve_1053_KIC11508644.csv
299,9334289,K00934.01,lightcurve_1054_KIC9334289.csv
553,10141900,K01082.01,lightcurve_1055_KIC10141900.csv
32,11507101,K00773.01,lightcurve_1056_KIC11507101.csv
1268,6616218,K01692.01,lightcurve_1057_KIC6616218.csv
1678,7620413,K02103.01,lightcurve_1058_KIC7620413.csv
3755,7100673,K04032.01,lightcurve_1059_KIC7100673.csv
526,1725016,K01007.01,lightcurve_105_KIC1725016.csv
1925,9205938,K02162.01,lightcurve_1060_KIC9205938.csv
1534,5864975,K01787.01,lightcurve_1061_KIC5864975.csv
2030,9229657,K02491.01,lightcurve_1062_KIC9229657.csv
3086,10187017,K00082.01,lightcurve_1065_KIC10187017.csv
