rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_model_snr,koi_num_transits,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,target_encoded
1,10797460,K00752.01,CONFIRMED,9.48803557,2.78e-05,-2.78e-05,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,0.146,0.318,-0.146,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,2.26,0.26,-0.15,0.0853,89.66,793.0,93.59,29.45,-16.65,24.81,2.6,-2.6,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,35.8,142.0,0,0,0,0,1
2,10797460,K00752.02,CONFIRMED,54.4183827,0.000248,-0.000248,4.507,0.116,-0.116,875.0,35.5,-35.5,0.586,0.059,-0.443,0.027954,0.00908,-0.00135,3.02368,2.20489,-2.49638,2.83,0.32,-0.19,0.2734,89.57,443.0,9.11,2.87,-1.62,77.9,28.4,-28.4,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.14,0.15,-0.15,0.927,0.105,-0.061,0.919,0.052,-0.046,25.8,25.0,0,0,0,0,1
5,10854555,K00755.01,CONFIRMED,2.525591777,3.76e-06,-3.76e-06,1.6545,0.042,-0.042,603.0,16.9,-16.9,0.701,0.235,-0.478,0.024064,0.00375,-0.00152,1.98635,2.71141,-1.74541,2.75,0.88,-0.35,0.0374,85.41,1406.0,926.16,874.33,-314.24,8.75,4.0,-4.0,6031.0,169.0,-211.0,4.438,0.07,-0.21,0.07,0.25,-0.3,1.046,0.334,-0.133,1.095,0.151,-0.136,40.9,515.0,0,0,0,0,1
6,10872983,K00756.01,CONFIRMED,11.09432054,2.04e-05,-2.04e-05,4.5945,0.061,-0.061,1520.0,24.2,-24.2,0.538,0.03,-0.428,0.036779,0.00512,-0.00107,0.67324,0.33286,-0.38858,3.9,1.27,-0.42,0.0992,88.11,835.0,114.81,112.85,-36.7,16.36,8.1,-8.1,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,66.5,95.0,0,0,0,0,1
7,10872983,K00756.02,CONFIRMED,4.13443512,1.05e-05,-1.05e-05,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,0.762,0.139,-0.532,0.026133,0.00197,-0.00206,0.37377,0.74768,-0.26357,2.77,0.9,-0.3,0.0514,83.72,1160.0,427.65,420.33,-136.7,6.96,2.8,-2.8,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,40.2,240.0,0,0,0,0,1
8,10872983,K00756.03,CONFIRMED,2.56658897,1.78e-05,-1.78e-05,2.429,0.165,-0.165,227.0,16.8,-16.8,0.755,0.212,-0.523,0.014983,0.00394,-0.00142,0.48909,0.95593,-0.45121,1.59,0.52,-0.17,0.0374,82.17,1360.0,807.74,793.91,-258.2,5.54,2.7,-2.7,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,15.0,355.0,0,0,0,0,1
10,10910878,K00757.01,CONFIRMED,16.06864674,1.09e-05,-1.09e-05,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,0.052,0.262,-0.052,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,5.76,0.22,-0.49,0.1158,89.92,600.0,30.75,4.46,-6.66,36.85,1.2,-1.2,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,161.9,69.0,0,0,0,0,1
11,11446443,K00001.01,CONFIRMED,2.470613377,2.7e-08,-2.7e-08,1.74319,0.00107,-0.00107,14200.0,4.2,-4.2,0.818,0.001,-0.001,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,13.04,0.51,-0.51,0.0354,84.41,1339.0,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,4304.3,432.0,0,0,0,0,1
13,6922244,K00010.01,CONFIRMED,3.522498429,1.98e-07,-1.98e-07,3.19843,0.00653,-0.00653,9150.0,6.6,-6.6,0.631,0.007,-0.007,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,14.59,1.11,-1.11,0.0473,85.2,1521.0,1264.67,307.23,-276.48,7.541,0.171,-0.171,6225.0,112.0,-137.0,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,1741.5,384.0,0,0,0,0,1
14,10984090,K00112.02,CONFIRMED,3.709214104,6.54e-06,-6.54e-06,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,0.051,0.395,-0.051,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,1.16,0.17,-0.12,0.0465,89.73,1206.0,500.46,197.96,-130.54,10.888,0.398,-0.398,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,50.6,352.0,0,0,0,0,1
19,10526549,K00746.01,CONFIRMED,9.27358173,1.04e-05,-1.04e-05,3.2875,0.0309,-0.0309,1290.0,16.8,-16.8,0.387,0.004,-0.386,0.032563,0.00306,-0.00063,1.93557,0.52971,-0.14046,2.47,0.2,-0.24,0.0759,88.93,649.0,41.85,12.49,-11.7,20.65,5.6,-5.6,4856.0,131.0,-146.0,4.583,0.065,-0.035,-0.3,0.3,-0.3,0.696,0.056,-0.068,0.676,0.088,-0.047,87.2,144.0,0,0,0,0,1
22,10601284,K00749.01,CONFIRMED,5.349553819,8.83e-06,-8.83e-06,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,0.092,0.369,-0.092,0.025706,0.000845,-0.000453,1.73782,0.00625,-0.73875,2.55,0.16,-0.24,0.0563,89.62,919.0,168.99,34.66,-38.48,13.8015,0.0496,-0.0496,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,60.6,247.0,0,0,0,0,1
23,10601284,K00749.02,CONFIRMED,3.94105221,1.09e-05,-1.09e-05,2.5984,0.0737,-0.0737,363.0,13.9,-13.9,0.226,0.243,-0.226,0.017105,0.000703,-0.000557,1.85636,0.37935,-0.52982,1.7,0.11,-0.16,0.046,88.88,1018.0,253.15,51.91,-57.65,11.51,2.4,-2.4,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,28.9,322.0,0,0,0,0,1
24,10601284,K00749.03,CONFIRMED,8.10904807,6.79e-05,-6.79e-05,3.596,0.198,-0.198,217.0,16.8,-16.8,0.025,0.425,-0.025,0.013127,0.00087,-0.000503,1.5302,0.23293,-0.63643,1.3,0.09,-0.12,0.0743,89.92,800.0,97.03,19.9,-22.09,17.46,2.7,-2.7,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,14.1,141.0,0,0,0,0,1
