flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
38493.36,6.2458005,0,0.0012346715,336.1553429617514,563.7800325441307,1105,34248.074,5.5047545,1174.0082,0.29583815,38493.36,6.2458005,0,,,,,336.1553429617514,0.00019353499,563.7800325441307,0.00015583559,0.0014238307,-0.03793423
38481.38,6.245239,8192,0.0012356362,336.15541377649225,563.7798303891058,1106,34245.56,5.5045223,1172.6804,0.29601306,38481.38,6.245239,8192,,,,,336.15541377649225,0.00019352367,563.7798303891058,0.00015585893,0.001409457,-0.037738953
38488.902,6.248884,0,0.0012366009,336.15591412244714,563.7796773530047,1107,34251.63,5.504852,1173.6979,0.29613793,38488.902,6.248884,0,,,,,336.15591412244714,0.00019354289,563.7796773530047,0.00015582093,0.0015031857,-0.037631627
38486.938,6.244174,0,0.0012375655,336.1558296165186,563.7802047279896,1108,34248.76,5.5047255,1172.5895,0.29622084,38486.938,6.244174,0,,,,,336.1558296165186,0.00019351473,563.7802047279896,0.00015581796,0.0017699336,-0.037600372
38475.812,6.245556,0,0.0012385302,336.1559839721152,563.7794984747044,1109,34237.547,5.504094,1173.4583,0.2958123,38475.812,6.245556,0,,,,,336.1559839721152,0.00019356252,563.7794984747044,0.00015587962,0.0015956945,-0.037974402
38475.47,6.249712,0,0.0012394947,336.1557054864411,563.7795675943804,1110,34235.94,5.5040603,1173.555,0.29597473,38475.47,6.249712,0,,,,,336.1557054864411,0.00019356045,563.7795675943804,0.00015586452,0.0015676199,-0.037915997
38483.47,6.2471976,0,0.001240459,336.1561245439179,563.7795267609322,1111,34241.87,5.5042496,1172.8685,0.29583693,38483.47,6.2471976,0,,,,,336.1561245439179,0.00019353718,563.7795267609322,0.00015583367,0.0015067928,-0.037891947
38482.484,6.249363,0,0.0012414235,336.1552591658439,563.7796265374055,1112,34239.355,5.5041223,1173.8478,0.29580754,38482.484,6.249363,0,,,,,336.1552591658439,0.00019355182,563.7796265374055,0.00015586111,0.0013197997,-0.038009375
38487.28,6.251094,8192,0.0012423878,336.1557021148478,563.779758106487,1113,34243.945,5.5045915,1173.1156,0.29578495,38487.28,6.251094,8192,,,,,336.1557021148478,0.00019353976,563.779758106487,0.00015584523,0.0015274975,-0.03789113
38486.215,6.253777,0,0.0012433522,336.1551109555005,563.7794463827306,1114,34243.047,5.5044456,1172.2638,0.29580572,38486.215,6.253777,0,,,,,336.1551109555005,0.00019352495,563.7794463827306,0.00015583844,0.0013077803,-0.038155235
38470.652,6.241782,0,0.0012443163,336.15559691073025,563.7796808756635,1115,34229.652,5.5035233,1173.0938,0.29579243,38470.652,6.241782,0,,,,,336.15559691073025,0.00019363462,563.7796808756635,0.00015592323,0.0015915299,-0.037928272
38478.98,6.249091,0,0.0012452806,336.1557151766692,563.779633599529,1116,34236.754,5.5040903,1173.9211,0.29574683,38478.98,6.249091,0,,,,,336.1557151766692,0.00019357538,563.779633599529,0.00015590084,0.0015721112,-0.037763696
38470.895,6.2491064,0,0.0012462446,336.15562976344916,563.7798450818748,1117,34229.805,5.503647,1172.36,0.2961158,38470.895,6.2491064,0,,,,,336.15562976344916,0.00019361154,563.7798450818748,0.0001558971,0.001863663,-0.037834063
38478.066,6.2521677,0,0.0012472088,336.1556101038493,563.7796177407681,1118,34236.473,5.504028,1172.3671,0.29597044,38478.066,6.2521677,0,,,,,336.1556101038493,0.00019356165,563.7796177407681,0.00015589758,0.0017905178,-0.03763179
38478.875,6.2486033,0,0.0012481727,336.15563499267245,563.7799610962269,1119,34237.316,5.5039816,1172.6066,0.29600227,38478.875,6.2486033,0,,,,,336.15563499267245,0.00019356972,563.7799610962269,0.00015591162,0.0018248706,-0.03733659
38460.8,6.2494955,0,0.0012491368,336.15561364209594,563.7803114650322,1120,34221.31,5.5031524,1173.0872,0.29587004,38460.8,6.2494955,0,,,,,336.15561364209594,0.00019366875,563.7803114650322,0.000156011,0.001973332,-0.037497237
38479.668,6.2480164,0,0.0012501007,336.1559220045233,563.7796709537072,1121,34237.434,5.504052,1173.2139,0.2961397,38479.668,6.2480164,0,,,,,336.1559220045233,0.00019355874,563.7796709537072,0.00015588714,0.0021389122,-0.037793647
38461.37,6.2462387,0,0.0012510645,336.15623809881555,563.7797743018601,1122,34221.426,5.5024767,1172.9894,0.2958514,38461.37,6.2462387,0,,,,,336.15623809881555,0.0001936465,563.7797743018601,0.00015593455,0.0022419947,-0.037491348
38474.836,6.249398,0,0.0012520283,336.1561148815185,563.7795360766412,1123,34233.11,5.5037594,1174.1815,0.2960668,38474.836,6.249398,0,,,,,336.1561148815185,0.00019357527,563.7795360766412,0.00015588733,0.0021510215,-0.037777442
38482.438,6.251938,0,0.001252992,336.1565789963449,563.7797748242504,1124,34239.754,5.503432,1171.4711,0.29584697,38482.438,6.251938,0,,,,,336.1565789963449,0.00019353318,563.7797748242504,0.00015589611,0.0022452872,-0.037744824
38461.77,6.249117,0,0.0012539556,336.15589730185707,563.7799381517918,1125,34222.168,5.503051,1171.498,0.29614902,38461.77,6.249117,0,,,,,336.15589730185707,0.000193624,563.7799381517918,0.00015593023,0.0018517252,-0.0377058
38479.72,6.252272,0,0.0012549192,336.1556389667534,563.7794891238406,1126,34237.51,5.504094,1173.1925,0.2959468,38479.72,6.252272,0,,,,,336.1556389667534,0.00019359299,563.7794891238406,0.00015589638,0.0020986085,-0.037722632
38469.36,6.2523236,0,0.0012558828,336.155594602228,563.779786672013,1127,34228.35,5.5035453,1171.8586,0.2958472,38469.36,6.2523236,0,,,,,336.155594602228,0.00019359947,563.779786672013,0.000155936,0.0017717155,-0.037721284
38463.6,6.2543235,0,0.0012568462,336.15585906688557,563.7799915993659,1128,34224.05,5.5031548,1171.4762,0.2960243,38463.6,6.2543235,0,,,,,336.15585906688557,0.00019364763,563.7799915993659,0.00015594624,0.001720323,-0.037719533
38465.78,6.25156,0,0.0012578097,336.15564957125457,563.7797227724994,1129,34225.707,5.5033927,1171.7905,0.29598084,38465.78,6.25156,0,,,,,336.15564957125457,0.00019363909,563.7797227724994,0.00015591786,0.002089078,-0.037562307
38464.883,6.2488832,0,0.001258773,336.1561643085359,563.7797676775253,1130,34225.15,5.5033083,1172.1033,0.29606548,38464.883,6.2488832,0,,,,,336.1561643085359,0.00019362241,563.7797676775253,0.00015590685,0.0017240057,-0.03759365
38452.32,6.2504683,0,0.0012597364,336.15618912963276,563.7792369641955,1131,34213.883,5.501294,1173.0211,0.29630688,38452.32,6.2504683,0,,,,,336.15618912963276,0.0001936442,563.7792369641955,0.00015596516,0.001926877,-0.03794851
38462.03,6.248372,0,0.0012606996,336.1555636429095,563.7795099149256,1132,34222.14,5.503041,1171.7413,0.29590484,38462.03,6.248372,0,,,,,336.1555636429095,0.00019364977,563.7795099149256,0.00015592689,0.0016807755,-0.037943605
38469.082,6.2550626,0,0.0012616628,336.15557328612954,563.7795776955804,1133,34228.47,5.5034547,1171.4182,0.29608703,38469.082,6.2550626,0,,,,,336.15557328612954,0.00019360532,563.7795776955804,0.00015591973,0.0016865198,-0.038063314
38458.97,6.250597,0,0.0012626259,336.1560390323955,563.7794600889911,1134,34219.67,5.5015616,1171.8583,0.29581228,38458.97,6.250597,0,,,,,336.1560390323955,0.00019361722,563.7794600889911,0.00015595989,0.0019766516,-0.03772706
38453.633,6.251246,0,0.001263589,336.15573368261096,563.7795988202612,1135,34214.918,5.5027714,1172.3253,0.2959234,38453.633,6.251246,0,,,,,336.15573368261096,0.00019366368,563.7795988202612,0.00015597585,0.001858715,-0.038078666
38460.67,6.2489696,0,0.001264552,336.15528261176667,563.7792511038956,1136,34221.188,5.5030475,1171.8086,0.2958896,38460.67,6.2489696,0,,,,,336.15528261176667,0.00019361584,563.7792511038956,0.00015594352,0.0018243454,-0.037909098
38454.66,6.2547383,0,0.001265515,336.1558409356684,563.7800784698801,1137,34216.035,5.502039,1171.0228,0.29592144,38454.66,6.2547383,0,,,,,336.1558409356684,0.00019365603,563.7800784698801,0.00015596501,0.0021256958,-0.037778124
38456.523,6.2524233,0,0.0012664779,336.15594794844856,563.780149361243,1138,34218.105,5.502835,1172.102,0.29588124,38456.523,6.2524233,0,,,,,336.15594794844856,0.00019367218,563.780149361243,0.00015596813,0.0021583296,-0.03725354
38458.156,6.248561,0,0.0012674407,336.1565768540256,563.7799656467018,1139,34219.066,5.501525,1171.6747,0.29570445,38458.156,6.248561,0,,,,,336.1565768540256,0.00019362716,563.7799656467018,0.00015595593,0.002255241,-0.037630104
38443.715,6.249183,0,0.0012684035,336.15588422990646,563.7798797644161,1140,34206.906,5.5008683,1171.0514,0.296076,38443.715,6.249183,0,,,,,336.15588422990646,0.00019365852,563.7798797644161,0.00015597159,0.0021054554,-0.037734725
38446.15,6.2455373,0,0.0012693661,336.15604026523545,563.779766032522,1141,34208.94,5.5009594,1170.6558,0.29583204,38446.15,6.2455373,0,,,,,336.15604026523545,0.00019366851,563.779766032522,0.00015602467,0.0021618735,-0.037544224
38443.816,6.2518325,0,0.0012703289,336.15602711844497,563.7796589529038,1142,34206.47,5.5022354,1171.9619,0.29609716,38443.816,6.2518325,0,,,,,336.15602711844497,0.00019373788,563.7796589529038,0.00015602662,0.0019434753,-0.038004633
38447.15,6.2503867,0,0.0012712914,336.155783232139,563.7799074993367,1143,34209.94,5.5009656,1171.2611,0.296099,38447.15,6.2503867,0,,,,,336.155783232139,0.00019367418,563.7799074993367,0.0001559972,0.0019534894,-0.037541226
38432.53,6.2499843,0,0.0012722539,336.1556467683258,563.7795334299461,1144,34197.04,5.500346,1170.9889,0.29616842,38432.53,6.2499843,0,,,,,336.1556467683258,0.00019372579,563.7795334299461,0.00015603707,0.0018231331,-0.03799615
38438.336,6.2531447,0,0.0012732164,336.15544084188434,563.7797956004788,1145,34202.445,5.5012436,1171.8234,0.2960006,38438.336,6.2531447,0,,,,,336.15544084188434,0.00019370748,563.7797956004788,0.00015601878,0.0012275964,-0.03763534
38432.316,6.253458,0,0.0012741789,336.1552498141369,563.7800636774854,1146,34196.965,5.501564,1171.2366,0.2959562,38432.316,6.253458,0,,,,,336.1552498141369,0.00019375079,563.7800636774854,0.0001560224,0.0011627348,-0.037864774
38434.004,6.254007,0,0.0012751413,336.15554775493007,563.7792946346779,1147,34197.836,5.5009847,1169.5098,0.29586273,38434.004,6.254007,0,,,,,336.15554775493007,0.00019372776,563.7792946346779,0.00015603316,0.0016507611,-0.038093314
38429.895,6.2502165,0,0.0012761035,336.1555366074851,563.7795641785384,1148,34194.727,5.5000596,1170.5597,0.29614505,38429.895,6.2502165,0,,,,,336.1555366074851,0.00019370274,563.7795641785384,0.00015613604,0.0017270416,-0.037862
38432.258,6.247584,0,0.0012770657,336.15590262190176,563.77983602791,1149,34196.582,5.5003233,1173.393,0.2959936,38432.258,6.247584,0,,,,,336.15590262190176,0.00019373627,563.77983602791,0.00015605807,0.0020300918,-0.037769508
38418.383,6.2512493,0,0.0012780279,336.15547046250157,563.7796074178978,1150,34185.027,5.4995475,1170.1139,0.29606396,38418.383,6.2512493,0,,,,,336.15547046250157,0.00019378753,563.7796074178978,0.00015609026,0.0020438684,-0.03791946
38435.734,6.247979,0,0.0012789901,336.1559814395372,563.7794752885928,1151,34199.613,5.500427,1171.8015,0.29598197,38435.734,6.247979,0,,,,,336.1559814395372,0.0001937042,563.7794752885928,0.00015604302,0.0018667049,-0.038050868
38428.273,6.2554073,0,0.0012799521,336.15532666329517,563.7799537164258,1152,34193.77,5.501416,1170.5924,0.295982,38428.273,6.2554073,0,,,,,336.15532666329517,0.00019378732,563.7799537164258,0.00015607054,0.001957654,-0.03778079
38430.97,6.252595,0,0.0012809141,336.1556241951572,563.7797360685944,1153,34195.945,5.5002494,1170.6414,0.29596865,38430.97,6.252595,0,,,,,336.1556241951572,0.00019374504,563.7797360685944,0.00015606402,0.0021144503,-0.03777897
38427.848,6.2479115,0,0.001281876,336.155993393278,563.7797106104229,1154,34192.824,5.4999704,1170.8528,0.29602972,38427.848,6.2479115,0,,,,,336.155993393278,0.00019375654,563.7797106104229,0.00015605365,0.0021745106,-0.037917275
38425.793,6.253743,0,0.0012828378,336.15569588720075,563.7795977943631,1155,34191.305,5.49986,1171.2091,0.29575056,38425.793,6.253743,0,,,,,336.15569588720075,0.00019372976,563.7795977943631,0.0001560963,0.0019841786,-0.037433404
38415.508,6.2508144,0,0.0012837996,336.15603397724146,563.7798527296053,1156,34181.918,5.499478,1169.9813,0.2960671,38415.508,6.2508144,0,,,,,336.15603397724146,0.00019382441,563.7798527296053,0.00015610253,0.0020415166,-0.03781992
38417.547,6.2537584,0,0.0012847614,336.15569270092146,563.7800699871001,1157,34184.43,5.4994946,1169.9896,0.2960115,38417.547,6.2537584,0,,,,,336.15569270092146,0.00019380108,563.7800699871001,0.00015611007,0.00192245,-0.037544418
38415.83,6.2490005,0,0.0012857231,336.1557613314413,563.7801340444056,1158,34182.31,5.4993515,1170.7365,0.29585242,38415.83,6.2490005,0,,,,,336.1557613314413,0.00019380511,563.7801340444056,0.0001561007,0.0020198005,-0.03744355
38412.934,6.252923,0,0.0012866847,336.1559425162173,563.7795592398978,1159,34180.176,5.4991474,1169.5245,0.29575768,38412.934,6.252923,0,,,,,336.1559425162173,0.0001937905,563.7795592398978,0.0001560906,0.0016144114,-0.03785793
38416.652,6.2510724,0,0.0012876462,336.1555838621933,563.7797993880879,1160,34183.137,5.5000334,1170.2789,0.29591757,38416.652,6.2510724,0,,,,,336.1555838621933,0.0001937961,563.7797993880879,0.00015609672,0.0011947338,-0.037963744
38416.824,6.253262,0,0.0012886077,336.1559890697697,563.7794491504219,1161,34183.17,5.499323,1170.4122,0.29580796,38416.824,6.253262,0,,,,,336.1559890697697,0.00019377482,563.7794491504219,0.00015609876,0.0016980304,-0.03808766
38418.23,6.2501287,0,0.0012895692,336.15590532043154,563.7798509562334,1162,34184.62,5.499455,1169.563,0.29595235,38418.23,6.2501287,0,,,,,336.15590532043154,0.00019378838,563.7798509562334,0.00015610745,0.0018847622,-0.037697196
38394.85,6.2532153,0,0.0012905305,336.15588291032606,563.7799515704535,1163,34164.742,5.498268,1168.7195,0.2961017,38394.85,6.2532153,0,,,,,336.15588291032606,0.00019387151,563.7799515704535,0.00015617046,0.0018427762,-0.037427228
38383.99,6.2532916,0,0.0012914919,336.15579347070326,563.7800595889524,1164,34155.176,5.497884,1169.9315,0.29586312,38383.99,6.2532916,0,,,,,336.15579347070326,0.0001939323,563.7800595889524,0.00015622206,0.0020201914,-0.037525225
38397.125,6.2536216,0,0.0012924531,336.15573167030936,563.7797715492113,1165,34167.06,5.498328,1169.2334,0.2960128,38397.125,6.2536216,0,,,,,336.15573167030936,0.00019384563,563.7797715492113,0.0001561634,0.0020288792,-0.037195988
38409.42,6.2504582,0,0.0012934143,336.1557737672796,563.7801602451103,1166,34177.703,5.499194,1171.2635,0.29601288,38409.42,6.2504582,0,,,,,336.1557737672796,0.00019384682,563.7801602451103,0.00015614141,0.002038639,-0.03725678
38389.133,6.252907,0,0.0012943754,336.1561347914191,563.7799015554615,1167,34160.39,5.498168,1168.6134,0.2962118,38389.133,6.252907,0,,,,,336.1561347914191,0.00019389241,563.7799015554615,0.00015620417,0.0021239796,-0.03677771
38394.92,6.250265,0,0.0012953365,336.1561965460068,563.7803136572941,1168,34165.16,5.498193,1170.4318,0.29584453,38394.92,6.250265,0,,,,,336.1561965460068,0.00019388972,563.7803136572941,0.00015617002,0.0027115901,-0.036908288
38391.65,6.253794,0,0.0012962974,336.15645662995263,563.7806548960671,1169,34162.887,5.498172,1169.6051,0.29616863,38391.65,6.253794,0,,,,,336.15645662995263,0.00019390184,563.7806548960671,0.00015620467,0.0024906455,-0.03688916
38394.17,6.252233,0,0.0012972584,336.15661464434595,563.7805020685739,1170,34165.137,5.498755,1177.2913,0.2960505,38394.17,6.252233,0,,,,,336.15661464434595,0.00019391866,563.7805020685739,0.00015624426,0.0025292104,-0.0365518
