toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,st_dist,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2
1000.01,FP,2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,10249.0,4.19,2.16986,9.604,485.735,0.0002637,-0.0002637,0.3195879,-0.3195879,37.77821,-37.77821,1.9105465,-1.9105465,,,,,264.7,-264.7,0.07,-0.07,0.0725729,-0.0725729,0.013,-0.013,11.9515,-11.9515
1001.01,PC,1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,7070.0,4.03,2.01,9.42344,295.862,5.3e-06,-5.3e-06,0.647,-0.647,1186.49,-1186.49,2.6242,-2.6242,,,,,126.4,-126.4,0.09,-0.09,0.09,-0.09,0.006,-0.006,5.91,-5.91
1002.01,FP,1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,8924.0,,5.73,9.299501,943.109,3e-06,-3e-06,0.184,-0.184,1.7584,-1.7584,,,,,,,124.0,-124.0,,,,,0.058,-0.058,106.333,-106.333
1003.01,FP,2.74323,3.167,383.41,,1177.36,1631.0,5388.5,4.15,,9.3003,7728.17,0.00108,-0.00108,0.642,-0.642,0.781988,-0.781988,,,,,,,567.0,-567.0,1.64,-1.64,,,0.037,-0.037,1899.57,-1899.57
1004.01,FP,3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9219.0,4.14,2.15,9.1355,356.437,1.28e-05,-1.28e-05,1.029,-1.029,1306.55,-1306.55,3.24714,-3.24714,,,,,171.1,-171.1,0.07,-0.07,0.06,-0.06,0.006,-0.006,4.6175,-4.6175
1005.01,FP,4.5505945,2.654,3731.0,7.10841,414.775,1257.0,5613.0,,1.09,9.1309,100.711,3.1e-06,-3.1e-06,0.339,-0.339,123.723,-123.723,0.474611,-0.474611,,,,,179.9,-179.9,,,0.07,-0.07,0.006,-0.006,14.121,-14.121
1006.01,FP,2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,6616.0,,1.53429,9.2386,,0.0004076,-0.0004076,0.1036554,-0.1036554,81.38088,-81.38088,8.438766,-8.438766,,,,,200.0,-200.0,,,1.4887,-1.4887,0.006,-0.006,,
1007.01,PC,6.9989206,3.953,2840.0,14.7752,448.744,1282.0,6596.0,3.71,2.7,8.87759,283.291,1.37e-05,-1.37e-05,0.437,-0.437,0.943618,-0.943618,0.764705,-0.764705,,,,,139.2,-139.2,0.09,-0.09,0.13,-0.13,0.006,-0.006,3.0025,-3.0025
1008.01,FP,2.0483755,2.767,483.0,3.19621,5644.4,,6858.5,4.2,1.57,8.9362,144.297,5.5e-06,-5.5e-06,0.861,-0.861,41.94,-41.94,,,,,,,584.6,-584.6,1.9,-1.9,,,0.012,-0.012,,
1009.01,PC,1.9600277,2.0065257,1707.627269,,1063.342296,1456.424653,8868.7,,,8.4331,866.147,2.5e-06,-2.5e-06,0.050591,-0.050591,49.601223,-49.601223,,,,,,,809.8,-809.8,,,,,0.028,-0.028,172.097,-172.097
101.01,KP,1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,5600.0,4.48851,0.890774,12.4069,375.31,8e-07,-8e-07,0.0192089,-0.0192089,184.79134,-184.79134,0.6576402,-0.6576402,,,,,,,,,0.0438467,-0.0438467,0.006,-0.006,4.411,-4.411
1010.01,FP,0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,9438.0,,1.0,8.45086,485.122,3.9e-05,-3.9e-05,0.0557065,-0.0557065,39.971123,-39.971123,1.5360428,-1.5360428,,,,,782.0,-782.0,,,,,0.006,-0.006,36.246,-36.246
