iter	Passed	Remaining
0	20	10085
1	26	6604
2	31	5246
3	38	4747
4	44	4440
5	50	4187
6	56	3950
7	61	3780
8	67	3676
9	73	3587
10	78	3487
11	83	3402
12	88	3323
13	94	3284
14	100	3238
15	105	3205
16	111	3164
17	116	3122
18	121	3075
19	127	3059
20	132	3020
21	137	2991
22	142	2952
23	147	2920
24	152	2898
25	157	2863
26	161	2835
27	167	2830
28	172	2804
29	176	2770
30	182	2758
31	187	2740
32	192	2721
33	197	2701
34	202	2686
35	207	2678
36	214	2681
37	227	2770
38	235	2788
39	242	2788
40	251	2810
41	258	2818
42	266	2834
43	272	2823
44	279	2825
45	286	2831
46	293	2830
47	300	2833
48	307	2829
49	313	2817
50	320	2824
51	329	2836
52	336	2841
53	345	2854
54	353	2858
55	360	2861
56	370	2879
57	377	2875
58	384	2875
59	391	2872
60	398	2865
61	405	2865
62	414	2872
63	422	2876
64	429	2877
65	436	2870
66	453	2927
67	462	2939
68	481	3006
69	493	3033
70	523	3165
71	532	3165
72	538	3151
73	547	3151
74	556	3154
75	565	3156
76	574	3153
77	583	3157
78	594	3166
79	603	3170
80	613	3172
81	623	3176
82	634	3186
83	642	3179
84	652	3184
85	661	3185
86	671	3186
87	679	3182
88	687	3172
89	696	3174
90	705	3169
91	712	3160
92	720	3155
93	730	3154
94	735	3134
95	741	3119
96	750	3116
97	757	3106
98	765	3102
99	772	3091
100	782	3092
101	791	3089
102	802	3095
103	813	3097
104	820	3085
105	829	3082
106	837	3074
107	847	3077
108	855	3068
109	863	3062
110	873	3062
111	885	3067
112	896	3070
113	907	3072
114	917	3073
115	924	3062
116	936	3065
117	945	3060
118	952	3049
119	963	3052
120	973	3047
121	981	3041
122	991	3038
123	1004	3044
124	1016	3049
125	1026	3047
126	1036	3043
127	1047	3045
128	1058	3044
129	1069	3042
130	1079	3040
131	1087	3031
132	1096	3026
133	1107	3025
134	1116	3019
135	1128	3019
136	1137	3012
137	1147	3010
138	1155	3000
139	1167	3001
140	1176	2995
141	1188	2995
142	1196	2988
143	1206	2982
144	1214	2974
145	1224	2968
146	1232	2960
147	1241	2952
148	1249	2944
149	1257	2935
150	1266	2927
151	1275	2919
152	1284	2912
153	1292	2902
154	1299	2892
155	1307	2884
156	1318	2879
157	1324	2866
158	1335	2864
159	1344	2857
160	1353	2849
161	1361	2840
162	1369	2832
163	1379	2825
164	1388	2818
165	1396	2808
166	1401	2794
167	1409	2785
168	1416	2775
169	1427	2771
170	1435	2762
171	1442	2751
172	1451	2744
173	1458	2732
174	1468	2727
175	1477	2719
176	1487	2715
177	1495	2706
178	1504	2698
179	1513	2691
180	1523	2685
181	1532	2677
182	1541	2670
183	1550	2662
184	1560	2656
185	1569	2649
186	1580	2644
187	1591	2641
188	1600	2633
189	1608	2624
190	1619	2620
191	1626	2608
192	1635	2600
193	1645	2595
194	1655	2589
195	1663	2579
196	1671	2571
197	1680	2563
198	1689	2555
199	1697	2546
200	1706	2538
201	1715	2531
202	1724	2522
203	1733	2515
204	1743	2508
205	1751	2499
206	1758	2489
207	1769	2483
208	1777	2474
209	1788	2469
210	1799	2464
211	1807	2454
212	1817	2448
213	1827	2442
214	1839	2438
215	1848	2430
216	1859	2425
217	1869	2417
218	1881	2414
219	1890	2405
220	1898	2396
221	1908	2390
222	1917	2381
223	1927	2374
224	1936	2367
225	1945	2358
226	1954	2351
227	1963	2342
228	1971	2333
229	1980	2325
230	1991	2318
231	2000	2310
232	2009	2302
233	2017	2293
234	2025	2284
235	2036	2278
236	2047	2271
237	2055	2262
238	2063	2253
239	2071	2244
240	2082	2238
241	2090	2228
242	2099	2220
243	2107	2211
244	2118	2204
245	2127	2196
246	2135	2187
247	2144	2179
248	2152	2169
249	2159	2159
250	2170	2153
251	2179	2144
252	2187	2135
253	2195	2126
254	2203	2117
255	2211	2107
256	2219	2099
257	2229	2090
258	2237	2081
259	2246	2073
260	2257	2067
261	2267	2059
262	2275	2050
263	2287	2044
264	2296	2036
265	2306	2029
266	2315	2021
267	2324	2012
268	2332	2003
269	2343	1995
270	2351	1987
271	2358	1976
272	2368	1969
273	2376	1960
274	2385	1951
275	2394	1943
276	2401	1933
277	2410	1924
278	2417	1915
279	2425	1906
280	2434	1897
281	2443	1889
282	2454	1881
283	2464	1874
284	2473	1865
285	2481	1856
286	2491	1849
287	2501	1841
288	2510	1832
289	2517	1822
290	2529	1816
291	2540	1809
292	2552	1803
293	2561	1794
294	2573	1788
295	2583	1780
296	2594	1773
297	2603	1765
298	2613	1756
299	2622	1748
300	2632	1740
301	2642	1732
302	2654	1725
303	2665	1718
304	2677	1711
305	2686	1703
306	2698	1696
307	2706	1687
308	2716	1679
309	2727	1671
310	2737	1663
311	2746	1654
312	2754	1645
313	2763	1636
314	2772	1628
315	2779	1618
316	2789	1610
317	2799	1602
318	2809	1593
319	2819	1585
320	2827	1576
321	2837	1568
322	2847	1560
323	2857	1552
324	2865	1542
325	2875	1534
326	2885	1526
327	2895	1518
328	2905	1510
329	2913	1501
330	2922	1492
331	2933	1484
332	2942	1475
333	2949	1465
334	2958	1457
335	2967	1448
336	2976	1439
337	2983	1430
338	2993	1421
339	3001	1412
340	3012	1404
341	3020	1395
342	3028	1386
343	3036	1377
344	3045	1368
345	3055	1359
346	3062	1350
347	3071	1341
348	3080	1332
349	3087	1323
350	3093	1313
351	3103	1304
352	3112	1296
353	3123	1288
354	3131	1279
355	3141	1270
356	3150	1262
357	3160	1253
358	3169	1244
359	3177	1235
360	3186	1226
361	3196	1218
362	3205	1209
363	3214	1200
364	3221	1191
365	3229	1182
366	3234	1172
367	3242	1163
368	3250	1154
369	3256	1144
370	3265	1135
371	3272	1126
372	3280	1116
373	3288	1107
374	3299	1099
375	3310	1091
376	3319	1082
377	3325	1073
378	3333	1064
379	3341	1055
380	3349	1046
381	3354	1036
382	3362	1027
383	3371	1018
