pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_teff,st_logg,st_rad,pl_orbpererr1,pl_orbpererr2,pl_trandurherr1,pl_trandurherr2,pl_trandeperr1,pl_trandeperr2,pl_radeerr1,pl_radeerr2,pl_insolerr1,pl_insolerr2,pl_eqterr1,pl_eqterr2,st_tmagerr1,st_tmagerr2,st_disterr1,st_disterr2,st_tefferr1,st_tefferr2,st_loggerr1,st_loggerr2,st_raderr1,st_raderr2,st_dist,st_pmra,st_pmdec,tfopwg_disp
2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,9.604,10249.0,4.19,2.16986,0.0002637,-0.0002637,0.3195879,-0.3195879,37.77821,-37.77821,1.9105465,-1.9105465,,,,,0.013,-0.013,11.9515,-11.9515,264.7,-264.7,0.07,-0.07,0.0725729,-0.0725729,485.735,-5.964,-0.076,FP
1.9316462,3.166,1286.0,11.2154,44464.5,4045.0,9.42344,7070.0,4.03,2.01,5.3e-06,-5.3e-06,0.647,-0.647,1186.49,-1186.49,2.6242,-2.6242,,,,,0.006,-0.006,5.91,-5.91,126.4,-126.4,0.09,-0.09,0.09,-0.09,295.862,-4.956,-15.555,PC
1.8675574,1.408,1500.0,23.7529,2860.61,2037.0,9.299501,8924.0,,5.73,3e-06,-3e-06,0.184,-0.184,1.7584,-1.7584,,,,,,,0.058,-0.058,106.333,-106.333,124.0,-124.0,,,,,943.109,-1.462,-2.249,FP
2.74323,3.167,383.41,,1177.36,1631.0,9.3003,5388.5,4.15,,0.00108,-0.00108,0.642,-0.642,0.781988,-0.781988,,,,,,,0.037,-0.037,1899.57,-1899.57,567.0,-567.0,1.64,-1.64,,,7728.17,-0.939,1.64,FP
3.5730141,3.37,755.0,11.3113,54679.3,4260.0,9.1355,9219.0,4.14,2.15,1.28e-05,-1.28e-05,1.029,-1.029,1306.55,-1306.55,3.24714,-3.24714,,,,,0.006,-0.006,4.6175,-4.6175,171.1,-171.1,0.07,-0.07,0.06,-0.06,356.437,-4.496,9.347,FP
4.5505945,2.654,3731.0,7.10841,414.775,1257.0,9.1309,5613.0,,1.09,3.1e-06,-3.1e-06,0.339,-0.339,123.723,-123.723,0.474611,-0.474611,,,,,0.006,-0.006,14.121,-14.121,179.9,-179.9,,,0.07,-0.07,100.711,-26.932,-2.901,FP
2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,9.2386,6616.0,,1.53429,0.0004076,-0.0004076,0.1036554,-0.1036554,81.38088,-81.38088,8.438766,-8.438766,,,,,0.006,-0.006,,,200.0,-200.0,,,1.4887,-1.4887,,-29.1,-6.8,FP
6.9989206,3.953,2840.0,14.7752,448.744,1282.0,8.87759,6596.0,3.71,2.7,1.37e-05,-1.37e-05,0.437,-0.437,0.943618,-0.943618,0.764705,-0.764705,,,,,0.006,-0.006,3.0025,-3.0025,139.2,-139.2,0.09,-0.09,0.13,-0.13,283.291,0.357,3.399,PC
2.0483755,2.767,483.0,3.19621,5644.4,,8.9362,6858.5,4.2,1.57,5.5e-06,-5.5e-06,0.861,-0.861,41.94,-41.94,,,,,,,0.012,-0.012,,,584.6,-584.6,1.9,-1.9,,,144.297,-17.9,1.3,FP
1.9600277,2.0065257,1707.627269,,1063.342296,1456.424653,8.4331,8868.7,,,2.5e-06,-2.5e-06,0.050591,-0.050591,49.601223,-49.601223,,,,,,,0.028,-0.028,172.097,-172.097,809.8,-809.8,,,,,866.147,-3.297,4.849,PC
1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,12.4069,5600.0,4.48851,0.890774,8e-07,-8e-07,0.0192089,-0.0192089,184.79134,-184.79134,0.6576402,-0.6576402,,,,,0.006,-0.006,4.411,-4.411,,,,,0.0438467,-0.0438467,375.31,12.641,-16.011,KP
0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,8.45086,9438.0,,1.0,3.9e-05,-3.9e-05,0.0557065,-0.0557065,39.971123,-39.971123,1.5360428,-1.5360428,,,,,0.006,-0.006,36.246,-36.246,782.0,-782.0,,,,,485.122,-5.746,4.502,FP
2.4704981,2.191,250.0,1.44656,575.597,1364.0,8.2388,5413.7,4.46,0.94,7.3e-06,-7.3e-06,0.482,-0.482,18.1279,-18.1279,0.107503,-0.107503,,,,,0.006,-0.006,0.0793,-0.0793,132.8,-132.8,0.09,-0.09,0.05,-0.05,52.62,145.102,-134.901,PC
0.884182,1.621,1890.0,24.8132,112144.0,5098.0,8.12718,8928.0,3.92,2.72,7e-07,-7e-07,0.035,-0.035,311.366,-311.366,5.41599,-5.41599,,,,,0.006,-0.006,11.315,-11.315,128.7,-128.7,0.08,-0.08,0.13,-0.13,295.959,-2.99,-0.029,APC
5.4255548,3.9637474,14939.63422,,273.5880696,1037.275305,7.6095,8868.7,,,0.0002073,-0.0002073,0.0211401,-0.0211401,238.97354,-238.97354,,,,,,,0.006,-0.006,9.32,-9.32,809.8,-809.8,,,,,510.295,-3.973,7.061,FP
1.4095184,0.9484999,2841.510326,,1650.422071,1625.618022,7.678,9307.0,,,2.3e-06,-2.3e-06,0.0413901,-0.0413901,51.88166,-51.88166,,,,,,,0.012,-0.012,2.8445,-2.8445,938.9,-938.9,,,,,224.672,-13.063,9.737,FP
1.3730466,2.5708515,1301.506534,42.1479417,3160.632833,1912.331864,10.7069,4897.0,,6.7996101,6.7e-06,-6.7e-06,0.1950537,-0.1950537,96.64637,-96.64637,46.48904,-46.48904,,,,,0.008,-0.008,28.8415,-28.8415,122.0,-122.0,,,,,906.496,1.566,-17.974,FP
12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,10.6257,7601.0,4.31,1.53641,0.0095088,-0.0095088,0.5393766,-0.5393766,235.25328,-235.25328,15.241591,-15.241591,,,,,0.006,-0.006,3.784,-3.784,135.8,-135.8,0.08,-0.08,0.0479799,-0.0479799,368.646,-9.231,11.614,FP
1.10422,2.37,14177.7,21.0448,39459.3,3926.0,10.6019,6995.2,4.07,1.61,0.00013,-0.00013,0.062,-0.062,843.788,-843.788,5.22012,-5.22012,,,,,0.006,-0.006,4.7245,-4.7245,157.0,-157.0,0.55,-0.55,0.07,-0.07,406.997,-11.278,9.593,FP
4.95912,2.509,7440.0,22.9123,673.55,1419.0,10.6254,5889.0,3.86,2.0,0.00016,-0.00016,0.13,-0.13,197.962,-197.962,3.28055,-3.28055,,,,,0.006,-0.006,2.9645,-2.9645,124.3,-124.3,0.07,-0.07,0.09,-0.09,360.541,-8.018,11.56,FP
5.2341008,3.7078139,20796.94163,24.2931408,1453.666385,1574.838185,10.6348,7645.0,4.3,1.56203,1.2e-06,-1.2e-06,0.0125204,-0.0125204,50.80361,-50.80361,0.7497171,-0.7497171,,,,,0.006,-0.006,4.1635,-4.1635,134.4,-134.4,0.08,-0.08,0.0481257,-0.0481257,399.544,-11.732,2.586,PC
4.4119378,3.65,15062.0,15.4706,653.252,1408.0,9.7109,6280.0,4.32092,1.21,8e-07,-8e-07,0.011,-0.011,69.1814,-69.1814,0.691963,-0.691963,,,,,0.006,-0.006,0.588,-0.588,,,,,0.05,-0.05,175.631,-15.641,26.046,KP
3.28892,3.793,10518.9,,29832.6,3661.0,10.7173,8734.2,4.1,,0.00066,-0.00066,0.202,-0.202,530.608,-530.608,,,,,,,0.013,-0.013,23.8635,-23.8635,283.6,-283.6,1.45,-1.45,,,906.827,-5.814,4.328,FP
1.90879,1.909,618.482,3.34688,985.807,1561.0,10.5551,6022.6,4.52,1.22,0.00035,-0.00035,0.231,-0.231,1.43774,-1.43774,0.217749,-0.217749,,,,,0.006,-0.006,1.579,-1.579,133.5,-133.5,0.39,-0.39,0.05,-0.05,235.974,-3.211,-15.082,FP
3.09574,4.475,380.0,3.4262,18087.9,3230.0,8.72924,6084.0,4.13,1.41,0.00677,-0.00677,1.196,-1.196,,,0.778713,-0.778713,,,,,0.007,-0.007,1.068,-1.068,111.0,-111.0,0.3,-0.3,0.05,-0.05,120.666,-15.787,-11.849,FA
1.3214483,3.435,2180.0,21.8839,35623.2,3827.0,9.697,5050.8,3.56,2.99,2.31e-05,-2.31e-05,0.071,-0.071,137.946,-137.946,4.01475,-4.01475,,,,,0.006,-0.006,2.247,-2.247,86.8,-86.8,0.4,-0.4,0.15,-0.15,316.398,-23.366,22.652,FP
18.0157,2.524,610.0,21.644,7.64364,463.0,10.0814,4709.0,,7.61,0.00015,-0.00015,0.403,-0.403,1.66317,-1.66317,,,,,,,0.006,-0.006,12.113,-12.113,122.0,-122.0,,,,,692.266,1.128,11.563,FP
9.6837921,2.4006056,4238.239901,,3176.310692,1914.698926,5.5324,8598.7,,,9e-07,-9e-07,0.0086986,-0.0086986,15.838111,-15.838111,,,,,,,0.006,-0.006,1.713,-1.713,1245.7,-1245.7,,,,,129.838,-19.153,11.046,PC
14.2628757,6.9350494,913.2067174,2.4765813,153.2069421,980.3628831,9.9138,5690.0,4.58,0.853898,3.85e-05,-3.85e-05,0.466316,-0.466316,37.2772746,-37.2772746,0.1510812,-0.1510812,,,,,0.006,-0.006,0.2575,-0.2575,129.0,-129.0,0.08,-0.08,0.0413895,-0.0413895,105.677,47.228,-6.325,FP
3.2834565,1.537,1558.0,2.87648,161.092,992.0,10.2103,4272.0,4.6,0.68,4.6e-06,-4.6e-06,0.709,-0.709,185.42,-185.42,0.314177,-0.314177,,,,,0.006,-0.006,0.13245,-0.13245,122.7,-122.7,0.11,-0.11,0.06,-0.06,56.3449,-87.554,12.992,PC
11.02875,2.715,1694.0,2.76586,15.0463,548.0,10.2103,4272.0,4.6,0.68,3.54e-05,-3.54e-05,0.404,-0.404,104.432,-104.432,0.268927,-0.268927,,,,,0.006,-0.006,0.13245,-0.13245,122.7,-122.7,0.11,-0.11,0.06,-0.06,56.3449,-87.554,12.992,PC
5.0113292,1.024,1210.0,2.52314,17.1793,567.0,10.2103,4272.0,4.6,0.68,1.2e-05,-1.2e-05,0.471,-0.471,182.035,-182.035,0.302798,-0.302798,,,,,0.006,-0.006,0.13245,-0.13245,122.7,-122.7,0.11,-0.11,0.06,-0.06,56.3449,-87.554,12.992,PC
1.01606,2.843,240.0,1.20704,2784.04,2023.0,7.9059,4634.0,4.64,0.68,0.00034,-0.00034,0.278,-0.278,0.375709,-0.375709,0.0989898,-0.0989898,,,,,0.006,-0.006,0.02025,-0.02025,120.9,-120.9,0.09,-0.09,0.05,-0.05,23.7748,30.65,-33.906,FP
36.22214,5.107,7170.0,,,,6.841,,,,0.00046,-0.00046,0.188,-0.188,228.173,-228.173,,,,,,,0.0,0.0,,,,,,,,,,,,FP
3.547854,3.494333,10424.3718,14.581841,1212.004376,1504.858953,11.5232,6351.0,4.22896,1.4,0.000149,-0.000149,0.049205,-0.049205,123.359314,-123.359314,0.196435,-0.196435,,,,,0.008,-0.008,7.752,-7.752,,,,,,,411.211,10.426,15.62,KP
12.1246519,4.612,7279.0,17.6729,207.32,1057.0,9.5706,4807.6,4.17,1.07,1.03e-05,-1.03e-05,0.667,-0.667,6484.95,-6484.95,2.59688,-2.59688,,,,,0.006,-0.006,2.83992,-2.83992,60.0,-60.0,0.36,-0.36,0.03,-0.03,78.41273,-26.184,22.489,FP
5.652623,3.434,1250.0,8.94354,2717.06,2011.0,9.7318,6415.4,3.98,1.92,2.54e-05,-2.54e-05,0.475,-0.475,26.0133,-26.0133,1.13988,-1.13988,,,,,0.006,-0.006,1.6275,-1.6275,103.2,-103.2,0.08,-0.08,0.08,-0.08,270.771,-23.901,3.03,FP
5.6643704,3.8087395,3491.823297,14.7738943,7657.662151,2385.853649,9.7611,10395.0,4.13,2.3383701,1.09e-05,-1.09e-05,0.0887935,-0.0887935,95.25267,-95.25267,0.7471176,-0.7471176,,,,,0.006,-0.006,18.7865,-18.7865,320.6,-320.6,0.07,-0.07,0.109357,-0.109357,587.196,-15.15,6.437,PC
29.0160175,5.345,1389.0,6.77406,33.2234,,10.0163,6113.1,,2.01,6.47e-05,-6.47e-05,0.314,-0.314,36.0326,-36.0326,,,,,,,0.006,-0.006,,,,,,,,,219.94,8.9,20.7,FP
