flux,flux_err,centroid_col,centroid_row,cadenceno,quality
24710.072,4.749759,525.4215057186242,336.41409056905013,1105,0
24709.795,4.7497582,525.4216508489367,336.4141759291352,1106,0
24715.434,4.750072,525.421427629908,336.4144015311947,1107,0
24723.16,4.7506876,525.4214778309148,336.41429193396914,1108,0
24725.805,4.7508426,525.4216598225917,336.41397734977977,1109,0
24717.871,4.7503357,525.4216881131204,336.41370954838,1110,0
24720.043,4.750431,525.4217562754698,336.41374154871954,1111,0
24711.115,4.749846,525.4218628466235,336.41370450643296,1112,0
24707.54,4.7496476,525.4216698115296,336.41369153677476,1113,0
24726.22,4.7507567,525.4219821956465,336.41332673437427,1114,0
24720.988,4.7504773,525.4217176901491,336.4136438864259,1115,0
24723.775,4.7506733,525.4215340564059,336.4134986769441,1116,0
24719.627,4.7503686,525.4214799012741,336.41364530347334,1117,0
24715.502,4.750185,525.4215564790159,336.4137566630318,1118,0
24723.59,4.7506733,525.421364588618,336.4139774297905,1119,0
24721.154,4.7506495,525.4212618364159,336.41378354693063,1120,0
24725.303,4.750855,525.4216027495082,336.4132481621299,1121,0
24725.377,4.750735,525.4212974804558,336.41401043576894,1122,0
24723.223,4.7506466,525.4213100268678,336.41361823950945,1123,8192
24723.152,4.7506146,525.4213057444573,336.4136139105362,1124,0
24734.434,4.751406,525.4215851115324,336.41351092424765,1125,0
24726.75,4.7508273,525.4214786266234,336.41330027730436,1126,0
24718.62,4.7503,525.4213603710607,336.4137026138255,1127,0
24732.07,4.751221,525.4214278592763,336.41352933726455,1128,0
24726.902,4.7508774,525.4213646964884,336.4135131999371,1129,0
24729.25,4.7513266,525.4216202093675,336.4133473921002,1130,128
24732.385,4.751133,525.4215726336477,336.4131660625567,1131,0
24729.125,4.750998,525.4215757221684,336.41332517514775,1132,0
24731.0,4.751079,525.421639645318,336.41279202796306,1133,0
24733.182,4.751199,525.4214798957056,336.4134017116192,1134,0
24735.512,4.7515244,525.4215933755255,336.41287900875847,1135,0
24730.887,4.7509804,525.4214851565453,336.4133402934116,1136,0
24729.867,4.7510443,525.4213752000917,336.4132353322131,1137,0
24736.266,4.751394,525.4212895267481,336.41386707905616,1138,0
24738.219,4.7515817,525.4214418807153,336.413442487183,1139,0
24728.742,4.751003,525.4215923383057,336.41309703662773,1140,0
24731.34,4.7511644,525.4214302671064,336.4132807358073,1141,0
